year,danceability,energy,loudness,speechiness,tempo,valence
1999,0.5525879081632651,0.5499389795918371,-10.358044897959198,0.04824525510204092,118.49474795918351,0.5928712244897959
2000,0.555691658137154,0.582120675537359,-9.992792221084942,0.048495547594677633,119.38577072671424,0.6064784544524063
2001,0.5502218478815711,0.5601336396120472,-10.201413986727953,0.04795237366003063,118.90837723328212,0.584219040326697
2002,0.5463400510204078,0.5605739285714283,-10.148111734693904,0.04732515306122451,118.53098112244875,0.5775928571428574
2003,0.5423736493374107,0.5543700305810401,-10.215388888888917,0.04704393476044857,118.8671508664626,0.5694063200815488
2004,0.5409303662258392,0.5558800101729398,-10.170407426246205,0.046875228891149624,118.81589572736497,0.5654483723296027
2005,0.5339431113370613,0.5517878495170316,-10.142588205388932,0.046256176919166316,118.8120462633451,0.5535723945094051
2006,0.5335038676844781,0.5529246310432573,-10.095178625954206,0.046831806615776135,118.77228142493638,0.5477290585241725
2007,0.5295341302136319,0.5534807731434389,-10.006819938962366,0.04627868769074262,118.35543845371319,0.539254170905391
2008,0.5312891094147579,0.5524810687022903,-10.079837150127235,0.04669430025445298,118.69703002544527,0.5440496692111958
2009,0.5332651292448047,0.5668930055752666,-9.76644450076025,0.046111505321844964,119.00074759249858,0.5309147491130253
2010,0.5319929113924052,0.5664795949367086,-9.755024810126576,0.04584000000000002,119.07244708860736,0.5328185822784807
2011,0.5312133535660086,0.5698314112291352,-9.640682852807283,0.04597627718765809,119.13113707637808,0.5203982802225593
2012,0.5321227777777776,0.573157424242424,-9.552343939393944,0.04615595959595953,119.1726060606059,0.5173524242424238
2013,0.5336011598587991,0.5744226424609173,-9.50106606152296,0.04630191628845176,118.83982198688844,0.5149931921331312
2014,0.5323721270161282,0.5783654233870971,-9.392926915322601,0.046808719758064506,118.74465221774194,0.5062476310483867
2015,0.5337472306142999,0.5869578046324276,-9.24922205438065,0.04860221550855984,119.05784642497483,0.5000236153071497
2016,0.5342004018081362,0.5928183827222511,-9.17652335509794,0.05021094927172271,119.68622250125587,0.49755479658463114
2017,0.5327006529382218,0.5935849824208951,-9.155878955298844,0.05024947262682064,119.66107282772498,0.49619191361125087
2018,0.5346745235707122,0.5974602808425281,-9.035978435305907,0.05132006018054164,119.72884754262812,0.49297753259779403
2019,0.5322982456140349,0.5960896240601502,-9.044685714285707,0.050853483709273194,119.61980350877202,0.4906610526315796
